Date,Weekday,Energy_3d,Energy_10d,Energy_50d,Energy_delta_50d_3d,Energy_delta_50d_10d,Temp,Precip,Temp_7d_avg,Precip_7d_avg,Last_Year_Usage,30d_MA,8w_DayOfWeek_Avg,Mean_Diff,Std_Dev_Diff,Anomaly_Flag
1/1/21,Friday,1099.3428306022465,1183.8566839782836,1180.3751296232504,0.073709763,-0.002940858,27.517099142144996,17.35999184,,,1340.7346709340966,,1099.3428306022465,18.075903221923074,3.206667011333237,0
1/2/21,Saturday,972.3471398,1215.727038063218,1592.4345332163887,0.637722237,0.309861904,18.349399530167748,16.563717386469058,,,1533.5626489351578,,972.3471398,2.9953250304321193,-1.062387665,0
1/3/21,Sunday,1129.5377076201385,800.3598630935785,1904.8619246573705,0.686408441,1.38000681,18.941665090344117,12.521094179616025,,,1816.2927446966657,,1129.5377076201385,-5.76261929,6.027270067730305,0
1/4/21,Monday,1304.605971281605,1383.2655349404963,1227.3651990814378,-0.059206208,-0.112704562,16.86133046957747,1.5055743330334725,,,1438.0680375628622,,1304.605971281605,9.733659524856144,1.4668025611721016,0
1/5/21,Tuesday,953.1693250553328,1269.2976951795986,1537.941233522079,0.613502652,0.211647385,18.55980563038962,2.2479405435202593,,,1494.6497508851724,,953.1693250553328,6.238959430765766,3.269980713978315,0
1/6/21,Wednesday,953.1726086101639,1399.6020219719305,1367.6035644406782,0.434791088,-0.02286254,27.092656725740184,0.9861797421964935,,,1791.265694395917,,953.1726086101639,-16.5417644,3.965306854121444,0
1/7/21,Thursday,1315.8425631014784,620.7489243612622,1585.1774412386071,0.204686249,1.553653142,7.560956717324602,5.149584329849386,19.26898761509839,8.04772605,1439.9346308391519,,1315.8425631014784,-10.34471357,2.1520123006079763,0
1/8/21,Friday,1153.4869458305818,1617.6749409561455,1503.8295554831504,0.303724815,-0.070375934,26.384826930440937,2.713229343207555,19.10723444199781,5.955331408270321,1602.0552622338241,,1126.414888216414,-1.154203012,4.012544827883558,0
1/9/21,Saturday,906.1051228130095,1172.0820743689653,1371.702618191138,0.513844899,0.170312769,21.69011740550854,5.200960805048678,19.584479852760783,4.332080468,1675.4701013479394,,939.2261312893863,-15.83607934,2.189436225490221,0
1/10/21,Sunday,1108.5120087171929,1421.6365633475034,1597.5744569742149,0.441188227,0.123757294,13.964891760713922,7.701161114379234,18.873512234242185,3.643518601605011,1460.6438102246034,,1119.0248581686656,20.905299019716125,5.324766370266094,0
1/11/21,Monday,907.3164614375075,992.0188145748939,1860.8696219573485,1.050959837,0.875841057,14.62343803475381,18.859655681422712,18.55381331498166,6.122673079946331,1561.9675186399845,,1105.9612163595561,8.222321820393413,2.5425094884956225,0
1/12/21,Tuesday,906.8540492859486,1322.554781012514,1461.8192416545403,0.611967486,0.105299578,28.381965136041018,12.207521195633841,19.956978958646147,7.5454703159625565,1632.2205555362345,,930.0116871706407,-0.13332847,5.0602927975640295,0
1/13/21,Wednesday,1048.3924543132068,989.3168873652687,1643.9515884296363,0.568068886,0.661703757,15.272465600286344,16.699475713659247,18.268380226438456,9.790226883314379,1419.8169612911747,,1000.7825314616854,-3.427065536,7.3240154085424205,0
1/14/21,Thursday,617.3439510684404,1075.246207860839,1241.3454084257673,1.010784112,0.154475505,14.233247447020203,14.207030014246644,19.221564616394968,11.084147695371131,1663.1530329979987,,966.5932570849594,-5.996636544,6.564745540584327,1
1/15/21,Friday,655.0164334973935,1582.8062707733573,1308.7127246363982,0.997984566,-0.173169358,25.686572711823647,2.250062610532635,19.121814013735356,11.017981019274712,1390.6027833089122,,969.2820699767407,-19.64032158,4.836578615716844,0
1/16/21,Saturday,887.5424941518055,1161.8635198473307,1594.4812555760755,0.796512579,0.372348153,21.692764381429573,14.718408127478977,19.122192153152646,12.377616351050468,1364.9824842079017,,921.9982522,-17.32873652,3.0225253631603635,0
1/17/21,Sunday,797.4337759331153,1243.4865746359446,1796.823205707193,1.25325696,0.444988022,15.310372117318007,5.501977631182489,19.314403632667513,12.063447282022363,1194.5917878359087,,1011.8278307568156,19.011207312676074,5.318354231845162,0
1/18/21,Monday,1062.8494665190547,1374.0135461377508,1571.122669757132,0.478217489,0.143455008,21.083124877023096,12.782156939894127,20.237216038705984,11.19523317608971,1399.3075312197884,,1091.590633079389,15.73599639232585,3.608561751065829,0
1/19/21,Tuesday,818.3951848957578,1299.136377594521,1437.388393895369,0.756350013,0.106418401,14.871236581798613,6.8192394728597705,18.307111959528495,10.42547864426484,1336.8994596259558,,892.8061864123464,-5.757777549,5.402246917403052,0
1/20/21,Wednesday,717.5392597329417,1230.0837810287153,1499.8582810846708,1.090280442,0.219313923,25.504106992113027,19.953445265293183,19.76877501550374,10.890331437355403,1419.8252087490052,,906.3681075521041,9.079991561824572,1.5694295650940013,0
1/21/21,Thursday,1293.1297537843109,1272.992200493245,1249.9184532060565,-0.033416059,-0.0181256,25.30685482436567,5.271029589935557,21.350718926553093,9.613759948168106,1622.3985263828977,,1075.4387559847432,5.064207749970311,6.614522112671285,0
1/22/21,Friday,954.8447399026928,1680.683117047655,1620.9030652710733,0.697556679,-0.035568901,22.660030994109714,5.582609415485393,20.91835582402253,10.089838063161356,1154.8651493249795,,965.6727374582287,6.242879566488419,5.066433126026295,0
1/23/21,Saturday,1013.5056409375848,1188.476240593283,1676.466612464682,0.654126573,0.410601706,21.808305306235084,18.613445111247966,20.934861670423317,10.646271917985498,1105.0658210825784,,944.8750994170407,-14.25177765,9.417033360018348,0
